matchId,date,home.name,home.image,away.name,away.image,result.home,result.away,result.status,Expected Goals (xG).home,Expected Goals (xG).away,Ball Possession.home,Ball Possession.away,Goal Attempts.home,Goal Attempts.away,Shots on Goal.home,Shots on Goal.away,Shots off Goal.home,Shots off Goal.away,Free Kicks.home,Free Kicks.away,Corner Kicks.home,Corner Kicks.away,Offsides.home,Offsides.away,Throw-ins.home,Throw-ins.away,Goalkeeper Saves.home,Goalkeeper Saves.away,Fouls.home,Fouls.away,Total Passes.home,Total Passes.away,Tackles.home,Tackles.away,Attacks.home,Attacks.away,Dangerous Attacks.home,Dangerous Attacks.away,Yellow Cards.home,Yellow Cards.away
M1w8YmqE,28.05.2023 18:30,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,5,0,FINISHED,2.68,0.51,51%,49%,14,6,8,0,6,6,9,9,8,4,1,0,12,14,0,3,8,11,456,432,17,9,92,70,56,35
KndBX7bK,28.05.2023 18:30,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,2,1,FINISHED,2.87,1.56,41%,59%,12,8,5,4,7,4,22,15,3,3,0,6,20,13,3,3,15,16,283,427,14,13,90,67,37,34,4,4
E9eFWRDQ,28.05.2023 18:30,Brentford,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,1,0,FINISHED,0.44,0.60,34%,66%,11,17,4,3,7,14,8,13,3,4,3,0,9,14,3,3,12,8,323,635,17,14,89,110,46,81,4,0
GIssSoMs,28.05.2023 18:30,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,1,1,FINISHED,1.77,1.50,65%,35%,22,13,5,4,17,9,13,9,10,3,2,1,15,16,3,4,9,11,593,329,21,14,129,63,74,40,,
YgxnR5yl,28.05.2023 18:30,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,Nottingham,https://static.flashscore.com/res/image/data/GCLLkTzB-ImKwLTtA.png,1,1,FINISHED,1.73,0.46,66%,34%,15,7,3,4,12,3,13,10,5,4,2,2,22,11,3,2,9,13,538,276,15,19,57,46,30,12,0,2
CpyjQPjf,28.05.2023 18:30,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,Bournemouth,https://static.flashscore.com/res/image/data/2Pb55xWg-tCGtX12c.png,1,0,FINISHED,1.00,0.46,38%,62%,13,7,6,2,7,5,14,11,9,3,0,1,22,21,2,5,11,12,305,533,18,12,110,94,51,42,1,3
67zfPq60,28.05.2023 18:30,Leeds,https://static.flashscore.com/res/image/data/rsvCPOh5-O4P6Zhap.png,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-SOY3p1Si.png,1,4,FINISHED,1.53,2.09,52%,48%,19,11,2,7,17,4,4,7,12,3,1,1,21,20,3,1,7,5,441,437,22,26,139,92,84,28,3,0
KAvbO3L6,28.05.2023 18:30,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-ARW4wdCc.png,2,1,FINISHED,1.40,1.38,48%,52%,13,16,4,3,9,13,14,10,3,5,2,3,17,11,2,2,8,10,541,565,11,17,103,110,41,49,1,1
2ZT2NNzD,28.05.2023 18:30,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,Fulham,https://static.flashscore.com/res/image/data/naaAVOzB-ImMEe0UF.png,2,1,FINISHED,2.79,1.92,53%,47%,21,10,8,3,13,7,9,14,5,4,1,1,9,14,2,6,14,10,493,426,19,15,120,98,43,31,1,2
tQS6MsjJ,28.05.2023 18:30,Southampton,https://static.flashscore.com/res/image/data/fmA9gnyB-UNZg5BP0.png,Liverpool,https://static.flashscore.com/res/image/data/vwC9RGhl-Imx2oQd8.png,4,4,FINISHED,1.90,3.80,31%,69%,15,30,10,8,5,22,10,5,2,9,0,0,16,21,4,6,4,10,272,604,21,20,36,101,8,69,0,2
n7guQMeI,25.05.2023 22:00,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,4,1,FINISHED,4.65,1.75,41%,59%,18,14,9,5,9,9,6,12,3,4,0,0,15,13,4,5,12,6,438,617,19,21,92,118,59,67,1,1
G8hKUpsm,24.05.2023 22:00,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,1,1,FINISHED,2.40,1.77,40%,60%,20,13,7,4,13,9,13,15,5,1,2,0,5,9,3,6,16,11,386,607,12,12,83,109,47,33,2,1
